bu_external_id,chnl_external_id,cluster_external_id,country_external_id,created_by,created_on,data_type_external_id,duration_end_date,duration_start_date,emp_external_id,is_deleted,level_external_id,level_of_measurement,modified_by,modified_on,param_name,param_value,plan_period,plan_type_id,pps__standalone_ic_admin_metric_table_id,prod_external_id,role_external_id,team_external_id,underlying_level,underlying_level_of_metric,workunit_external_id
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1223","false","Ext_level1","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_EARNINGS_UR","5.025","TOTAL","TOTAL","20560","TOTAL","Ext_role1","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1223","false","Ext_level1","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_PROTECTION_PAYOUT_UR","0.0000000000","TOTAL","TOTAL","20561","TOTAL","Ext_role1","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1223","false","Ext_level1","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_TOTAL_PAYOUT_UR","4.7008064517750","TOTAL","TOTAL","20562","TOTAL","Ext_role1","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1225","false","Ext_level3","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_EARNINGS_UR","5.025","TOTAL","TOTAL","20563","TOTAL","Ext_role3","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ_Region1_Territory1",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1225","false","Ext_level3","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_PROTECTION_PAYOUT_UR","0.0000000000","TOTAL","TOTAL","20564","TOTAL","Ext_role3","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ_Region1_Territory1",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1225","false","Ext_level3","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_TOTAL_PAYOUT_UR","4.7008064517750","TOTAL","TOTAL","20565","TOTAL","Ext_role3","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ_Region1_Territory1",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1226","false","Ext_level3","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_EARNINGS_UR","5.025","TOTAL","TOTAL","20566","TOTAL","Ext_role3","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ_Region1_Territory2",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1226","false","Ext_level3","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_PROTECTION_PAYOUT_UR","0.0000000000","TOTAL","TOTAL","20567","TOTAL","Ext_role3","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ_Region1_Territory2",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1226","false","Ext_level3","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_TOTAL_PAYOUT_UR","4.7008064517750","TOTAL","TOTAL","20568","TOTAL","Ext_role3","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ_Region1_Territory2",
"Ext_BU_1","TOTAL","CLUSTER01","COUNTRY1","8000001","2025-03-06T08:31:22.93292+00:00","TOTAL",,,"ext_EmpId_1227","false","Ext_level3","TOTAL","8000001","2025-03-06T08:31:22.93292+00:00","PTD_EARNINGS_UR","5.025","TOTAL","TOTAL","20569","TOTAL","Ext_role3","Ext_team_3","TOTAL","TOTAL","GL_BU_1_team_3_HQ_Region1_Territory3",
